,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8398,8398,Suzuki,Grand Vitra,36500.0,2009,9,166.0,1,petrol,2.4,0,0,0,0,0,0,Japan
8399,8399,Nissan,Qashqai,30500.0,2012,3,140.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8400,8400,Seat,MII,34000.0,2018,3,75.0,0,petrol,1.0,0,0,0,0,0,0,Spain
8401,8401,Kia,Sportage,75000.0,2021,2,136.0,0,diesel,1.6,0,0,0,0,0,0,South Korea
8402,8402,Hyundai,i30,32500.0,2015,3,135.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8403,8403,Suzuki,SX4,17000.0,2008,1,107.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8404,8404,Skoda,Fabia,14000.0,2011,3,86.0,0,petrol,1.4,0,0,0,0,0,0,Czech Republic
8405,8405,Nissan,Qashqai,37500.0,2010,2,140.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8406,8406,Chrysler,Grand Voyager,23000.0,2010,3,193.0,0,petrol,3.8,0,0,0,0,0,0,United States
8407,8407,Volkswagen,Golf,23200.0,2010,2,122.0,0,petrol,1.4,0,0,0,0,0,0,Germany
8408,8408,Nissan,Qashqai,3000.0,2017,3,115.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8409,8409,Infiniti,Q50,66500.0,2016,3,211.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8410,8410,Mazda,3,57000.0,2018,2,120.0,0,petrol,1.5,0,0,0,0,0,0,Japan
8411,8411,Kia,Niro Hybrid,115000.0,2020,1,141.0,0,hybrid,1.6,0,0,0,0,0,0,South Korea
8412,8412,Seat,Ibiza,65000.0,2018,2,115.0,0,petrol,1.0,0,0,0,0,0,0,Spain
8413,8413,Citroen,C4,8400.0,2009,2,143.0,0,petrol,2.0,0,0,0,0,0,0,France
8414,8414,Honda,Accord,20000.0,2008,6,156.0,0,petrol,2.0,0,0,0,0,0,0,Japan
