,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,cruise_control
309,Jeep,COMPASS,227100.0,2022,1,240.0,1,hybrid,1.4,0,1,1,0,0
310,Mitsubishi,TRITON L200,76400.0,2017,2,154.0,1,diesel,2.4,0,1,1,1,0
311,Cadillac,CTS,125000.0,2018,2,272.0,0,petrol,2.0,0,1,1,0,1
312,Toyota,COROLLA HYBRID,97900.0,2020,1,98.0,0,petrol,1.8,0,0,0,0,0
313,Skoda,OCTAVIA,109184.0,2021,1,150.0,0,petrol,1.5,0,0,0,0,0
314,Renault,GRAND SCENIC,71900.0,2020,1,140.0,0,petrol,1.3,0,0,0,0,0
315,Peugeot,3008,70000.0,2017,1,165.0,0,petrol,1.6,0,1,1,1,0
316,Hyundai,IONIQ,102000.0,2021,1,141.0,0,hybrid,1.6,1,1,0,0,0
317,BMW,X1,155000.0,2021,1,140.0,0,petrol,1.5,0,1,1,1,0
318,Hyundai,IONIQ,79000.0,2019,1,141.0,0,hybrid,1.6,0,0,1,0,1
319,Hyundai,I10,69295.0,2020,1,84.0,0,petrol,1.2,0,1,1,0,0
320,Toyota,COROLLA HYBRID,101900.0,2020,1,98.0,0,petrol,1.8,0,0,0,0,0
321,BMW,1 SERIES,55555.0,2015,2,136.0,0,petrol,1.6,1,1,0,1,0
322,Kia,CEED,4050.0,2017,2,135.0,0,petrol,1.6,0,0,1,0,0
323,Hyundai,I30,4000.0,2015,3,135.0,0,petrol,1.6,1,1,0,0,0
324,Skoda,KAROQ,76000.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1
325,Hyundai,TUCSON,73600.0,2017,2,155.0,0,petrol,2.0,1,1,0,0,0
326,Renault,MEGANE ESTATE/ GRAND TOUR,23000.0,2017,3,110.0,0,diesel,1.5,1,1,0,1,0
327,Nissan,X-TRAIL,59000.0,2017,1,130.0,0,diesel,1.6,0,1,1,1,0
328,Mercedes-Benz,C-CLASS,30500.0,2022,1,258.0,0,petrol,2.0,0,1,1,1,0
329,Nissan,X-TRAIL,123000.0,2020,2,150.0,0,diesel,1.7,0,1,1,1,0
330,Audi,TT,225000.0,2022,2,197.0,0,petrol,2.0,0,1,1,1,0
331,Toyota,COROLLA HYBRID,115000.0,2020,1,98.0,0,hybrid,1.8,0,1,0,1,0
332,Chevrolet,SPARK,60900.0,2020,1,98.0,0,electric,1.4,1,1,1,0,0
333,Opel,CORSA,38500.0,2018,2,90.0,0,petrol,1.4,1,1,1,0,0
334,Renault,CLIO,32450.0,2018,2,118.0,0,petrol,1.2,1,1,1,0,0
335,Mitsubishi,ECLIPSE CROSS,80500.0,2018,2,163.0,0,petrol,1.5,0,1,1,0,1
336,Chrysler,GRAND VOYAGER,60000.0,2014,2,279.0,0,petrol,3.6,1,1,0,0,0
337,Hyundai,IONIQ,80000.0,2018,2,141.0,0,hybrid,1.6,0,0,1,0,1
338,Mercedes-Benz,S-CLASS,20000.0,2005,10,245.0,0,petrol,3.7,0,1,0,0,0
339,Toyota,COROLLA HYBRID,94000.0,2021,1,98.0,0,petrol,1.8,1,0,1,1,0
340,Kia,PICANTO,64900.0,2020,1,84.0,0,petrol,1.2,1,0,1,0,0
341,Chevrolet,BLAZER,182000.0,2021,1,308.0,1,electric,3.6,1,1,0,0,1
342,Skoda,SUPERB,198000.0,2023,1,190.0,0,petrol,2.0,1,1,1,0,0
343,Kia,STONIC,88000.0,2021,1,100.0,0,petrol,1.0,0,1,1,1,0
344,BMW,X5,625000.0,2024,0,335.0,1,petrol,3.0,0,0,0,0,0
345,Dodge,RAM,295000.0,2024,0,370.0,1,petrol,6.7,1,0,0,0,0
346,Infiniti,QX55,298000.0,2024,1,268.0,1,petrol,2.0,0,1,0,0,0
347,Nissan,QASHQAI,112000.0,2020,1,160.0,0,petrol,1.3,0,1,1,0,0
348,Subaru,XV,48500.0,2014,4,150.0,1,petrol,2.0,1,1,0,0,0
349,Toyota,CAMRY,45000.0,2010,1,187.0,0,hybrid,2.4,1,0,0,0,0
350,Mercedes-Benz,GLE COUPE,670000.0,2023,2,429.0,1,petrol,3.0,1,0,0,0,0
351,Kia,SPORTAGE,120000.0,2021,2,155.0,0,petrol,2.0,1,1,1,0,0
352,Nissan,X-TRAIL,115000.0,2019,1,177.0,1,diesel,2.0,0,1,1,1,0
353,Renault,CLIO,35000.0,2017,1,118.0,0,petrol,1.2,1,1,1,0,0
354,Hyundai,I10,33600.0,2017,2,66.0,0,petrol,1.0,1,1,1,0,0
355,Ford,FOCUS,18600.0,2012,2,170.0,0,petrol,2.0,1,0,0,1,0
356,Fiat,DUCATO,3000.0,2015,3,130.0,0,diesel,2.3,1,0,0,0,0
357,Jeep,WRANGLER,391500.0,2023,1,272.0,0,petrol,2.0,0,0,1,0,0
358,BMW,XM,1260000.0,2024,1,483.0,1,petrol,4.4,1,0,0,0,0
359,Peugeot,3008,125000.0,2021,1,130.0,0,diesel,1.5,0,1,1,0,1
360,Toyota,COROLLA,52000.0,2015,2,132.0,0,petrol,1.6,1,0,0,1,0
361,Nissan,JUKE,21000.0,2012,3,117.0,0,petrol,1.6,1,1,0,0,0
362,Nissan,JUKE,40000.0,2015,3,117.0,0,petrol,1.6,1,1,0,0,0
363,Kia,SPORTAGE,56700.0,2016,2,132.0,0,petrol,1.6,1,1,1,0,0
364,Seat,ARONA,70000.0,2020,1,115.0,0,petrol,1.0,0,1,1,0,1
365,Toyota,COROLLA HYBRID,107000.0,2021,1,98.0,0,hybrid,1.8,0,0,1,1,0
366,Hyundai,IX35,45000.0,2015,2,154.0,0,petrol,2.0,1,0,0,0,0
367,Mazda,CX-5,151000.0,2021,2,165.0,0,petrol,2.0,0,1,1,0,1
368,Toyota,COROLLA HYBRID,99000.0,2019,1,98.0,0,hybrid,1.8,0,0,0,1,1
369,Mercedes-Benz,SPRINTER,180000.0,2023,0,190.0,0,diesel,2.0,0,0,0,0,0
370,Hyundai,I35,38000.0,2015,2,132.0,0,petrol,1.6,1,0,0,0,0
371,Skoda,KAROQ,80900.0,2019,1,115.0,0,petrol,1.0,0,1,1,0,1
372,Renault,MEGANE GRAND COUPE,60999.0,2019,2,116.0,0,diesel,1.5,0,1,1,0,1
373,Abarth,500,13000.0,2022,2,165.0,0,petrol,1.4,0,1,1,1,0
374,Citroen,C4,86900.0,2021,1,130.0,0,petrol,1.2,0,0,0,0,0
375,Hyundai,I30CW,1000.0,2009,4,126.0,0,petrol,1.6,1,0,0,0,0
376,Volkswagen,TIGUAN,96000.0,2018,1,150.0,0,petrol,1.4,0,1,1,0,1
377,Mitsubishi,OUTLANDER,45000.0,2017,1,150.0,0,petrol,2.0,1,0,1,0,0
378,Audi,Q8,545000.0,2023,1,340.0,0,petrol,3.0,1,0,0,0,0
379,Renault,CLIO ESTATE,23700.0,2017,3,118.0,0,petrol,1.2,0,1,1,1,0
380,Renault,FLUENCE,17000.0,2014,2,115.0,0,petrol,1.6,1,0,1,0,0
381,Citroen,BERLINGO,42000.0,2017,2,75.0,0,diesel,1.6,1,0,0,1,0
382,Peugeot,2008,101000.0,2021,2,130.0,0,petrol,1.2,0,1,1,0,1
383,Hyundai,TUCSON,74000.0,2018,2,155.0,0,petrol,2.0,1,1,1,0,0
384,Nissan,X-TRAIL,84000.0,2018,2,130.0,0,diesel,1.6,0,1,1,1,0
385,BMW,7 SERIES,189000.0,2016,3,326.0,0,petrol,3.0,1,0,0,0,1
386,Toyota,YARIS,155000.0,2023,1,92.0,0,hybrid,1.5,0,1,1,0,0
387,Hyundai,TUCSON,18000.0,2008,1,175.0,1,petrol,2.7,1,1,0,0,0
388,Kia,NIRO HYBRID,87000.0,2018,2,141.0,0,hybrid,1.6,0,0,1,0,1
389,Land Rover,RANGE ROVER EVOQUE,148000.0,2017,4,180.0,1,diesel,2.0,0,1,1,1,0
390,Cadillac,XT5,205000.0,2021,1,310.0,0,petrol,1.6,1,0,1,0,1
391,Cadillac,ATS,64900.0,2016,2,272.0,0,petrol,2.0,1,1,1,0,0
392,Renault,MASTER,74000.0,2019,1,150.0,0,diesel,3.5,1,0,0,0,0
393,Jeep,COMPASS,149900.0,2022,0,150.0,0,petrol,1.3,0,1,1,0,0
394,Hyundai,IONIQ,99900.0,2020,1,141.0,0,hybrid,1.6,0,1,0,0,1
395,Skoda,SCALA,75000.0,2021,1,115.0,0,petrol,1.0,1,0,0,0,0
396,Mazda,CX-3,96300.0,2020,1,156.0,0,petrol,2.0,0,1,0,1,0
397,Toyota,COROLLA,59900.0,2016,3,132.0,0,petrol,1.6,1,0,0,1,0
398,Hyundai,IONIQ,75000.0,2018,1,141.0,0,hybrid,1.6,0,1,1,0,0
399,Skoda,OCTAVIA,3000.0,2015,2,105.0,0,petrol,1.2,1,0,0,0,0
400,Kia,SPORTAGE,85000.0,2021,2,136.0,0,diesel,1.6,0,1,1,0,0
401,Audi,A1,54900.0,2016,2,95.0,0,petrol,1.0,1,1,0,1,0
402,Maserati,GRECALE,450000.0,2023,1,300.0,1,hybrid,2.0,0,0,0,0,1
403,Renault,MEGANE GRAND COUPE,84000.0,2021,1,116.0,0,diesel,1.5,0,1,1,1,0
404,Hyundai,I10,64900.0,2021,2,84.0,0,petrol,1.2,1,1,1,0,0
405,Mitsubishi,OUTLANDER,99900.0,2020,1,150.0,0,petrol,2.0,0,1,1,0,1
406,Nissan,SENTRA,43900.0,2017,2,130.0,0,petrol,1.8,1,1,1,0,0
407,Skoda,SUPERB,84000.0,2019,1,150.0,0,petrol,1.5,0,1,1,0,1
408,Mercedes-Benz,GT AMG,845000.0,2021,3,639.0,0,petrol,4.0,1,0,1,0,1
409,BMW,5 SERIES,349000.0,2023,1,184.0,0,hybrid,2.0,0,1,1,0,0
410,Jeep,GRAND CHEROKEE,245000.0,2022,1,286.0,1,petrol,3.6,1,0,1,0,0
411,Peugeot,2008,94000.0,2021,1,130.0,0,petrol,1.2,0,1,1,0,1
412,Jeep,GRAND CHEROKEE,95000.0,2014,3,282.0,1,petrol,3.6,1,1,0,0,0
413,Chrysler,PACIFICA,138000.0,2019,2,280.0,0,petrol,3.6,1,1,1,0,0
414,Kia,SPORTAGE,79000.0,2019,2,136.0,0,diesel,1.6,0,1,1,0,0
415,Kia,SPORTAGE,106500.0,2021,1,177.0,0,petrol,1.6,0,1,1,0,1
416,BMW,I8,280000.0,2016,2,362.0,1,hybrid,1.5,0,1,1,0,0
417,Cupra,FORMENTOR,207100.0,2022,1,310.0,1,petrol,2.0,1,1,0,0,0
418,Volkswagen,TIGUAN,130000.0,2020,1,150.0,0,petrol,1.5,0,1,1,0,1
419,Mercedes-Benz,C-CLASS,50800.0,2019,1,160.0,0,diesel,1.6,0,1,1,1,0
420,Mercedes-Benz,A-CLASS,69000.0,2014,3,122.0,0,petrol,1.6,1,1,0,1,0
421,Toyota,HILUX,135000.0,2015,2,171.0,1,diesel,3.0,0,1,0,0,0
422,Ford,EDGE,84600.0,2016,2,285.0,0,petrol,3.5,1,1,0,0,0
423,Nissan,SENTRA,59000.0,2020,2,124.0,0,petrol,1.8,0,0,0,0,0
